group                      , name                         , kind       , data_gen      , n_samples, n_features, algorithm, metric     , min_samples, min_cluster_size, knn_k, k_graph, density, n_repeats, elapsed_sec, peak_mem_bytes, peak_mem_MB, mst_n_edges, mst_n_inf_edges, mst_total_weight    , mst_max_weight     , core_dist_mean     , neighbors_shape, n_clusters, n_noise, noise_fraction, graph_nnz, graph_density, all_timings_sec                  , timing_std_sec, error
scaling_euclidean          , boruvka_n200                 , hdbscan    , blobs         ,       200,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.002023,          44855,        0.04,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n200          , hdbscan    , blobs         ,       200,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.002018,         216960,        0.22,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , boruvka_n500                 , hdbscan    , blobs         ,       500,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.002854,         103951,        0.1 ,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n500          , hdbscan    , blobs         ,       500,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.002737,         533400,        0.53,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , boruvka_n1000                , hdbscan    , blobs         ,      1000,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.005179,         202119,        0.2 ,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n1000         , hdbscan    , blobs         ,      1000,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.004557,        1061016,        1.06,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , boruvka_n2000                , hdbscan    , blobs         ,      2000,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.008367,         398471,        0.4 ,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n2000         , hdbscan    , blobs         ,      2000,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.006876,        2116248,        2.12,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , boruvka_n5000                , hdbscan    , blobs         ,      5000,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.024314,         986071,        0.99,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n5000         , hdbscan    , blobs         ,      5000,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.02097 ,        5278712,        5.28,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , boruvka_n10000               , hdbscan    , blobs         ,     10000,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.070699,        1962999,        1.96,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n10000        , hdbscan    , blobs         ,     10000,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.042831,       10551640,       10.55,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , boruvka_n25000               , hdbscan    , blobs         ,     25000,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.218976,        4889215,        4.89,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n25000        , hdbscan    , blobs         ,     25000,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.144333,       26409158,       26.41,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , boruvka_n50000               , hdbscan    , blobs         ,     50000,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.553399,        9753239,        9.75,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n50000        , hdbscan    , blobs         ,     50000,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.385275,       52812632,       52.81,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , boruvka_n100000              , hdbscan    , blobs         ,    100000,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    1.637021,       19460829,       19.46,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n100000       , hdbscan    , blobs         ,    100000,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.931794,      105619430,      105.62,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_brute_n200           , hdbscan    , blobs         ,       200,         10, kruskal  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.004938,        1329207,        1.33,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_brute_n500           , hdbscan    , blobs         ,       500,         10, kruskal  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.018143,        8113693,        8.11,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_brute_n1000          , hdbscan    , blobs         ,      1000,         10, kruskal  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.075816,       32221263,       32.22,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_brute_n2000          , hdbscan    , blobs         ,      2000,         10, kruskal  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.342352,      128436495,      128.44,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_brute_n5000          , hdbscan    , blobs         ,      5000,         10, kruskal  , euclidean  ,           5,               15,      ,        ,        ,          ,    2.627762,      801078959,      801.08,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_brute_n7000          , hdbscan    , blobs         ,      7000,         10, kruskal  , euclidean  ,           5,               15,      ,        ,        ,          ,    5.679893,     1569515933,     1569.52,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_precomputed        , boruvka_precomp_n200         , hdbscan    , blobs         ,       200,         10, boruvka  , precomputed,           5,               15,      ,      20,        ,          ,    0.019723,         391242,        0.39,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_precomputed        , kruskal_precomp_n200         , hdbscan    , blobs         ,       200,         10, kruskal  , precomputed,           5,               15,      ,      20,        ,          ,    0.009025,         391210,        0.39,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_precomputed        , boruvka_precomp_n500         , hdbscan    , blobs         ,       500,         10, boruvka  , precomputed,           5,               15,      ,      20,        ,          ,    0.043711,         698590,        0.7 ,            ,                ,                     ,                    ,                    ,                ,         10,      38,         0.076 ,          ,              ,                                  ,               , 
scaling_precomputed        , kruskal_precomp_n500         , hdbscan    , blobs         ,       500,         10, kruskal  , precomputed,           5,               15,      ,      20,        ,          ,    0.020951,         712092,        0.71,            ,                ,                     ,                    ,                    ,                ,         10,      27,         0.054 ,          ,              ,                                  ,               , 
scaling_precomputed        , boruvka_precomp_n1000        , hdbscan    , blobs         ,      1000,         10, boruvka  , precomputed,           5,               15,      ,      20,        ,          ,    0.08294 ,        1247118,        1.25,            ,                ,                     ,                    ,                    ,                ,         10,      96,         0.096 ,          ,              ,                                  ,               , 
scaling_precomputed        , kruskal_precomp_n1000        , hdbscan    , blobs         ,      1000,         10, kruskal  , precomputed,           5,               15,      ,      20,        ,          ,    0.040249,        1293174,        1.29,            ,                ,                     ,                    ,                    ,                ,         10,      80,         0.08  ,          ,              ,                                  ,               , 
scaling_precomputed        , boruvka_precomp_n2000        , hdbscan    , blobs         ,      2000,         10, boruvka  , precomputed,           5,               15,      ,      20,        ,          ,    0.160405,        2328344,        2.33,            ,                ,                     ,                    ,                    ,                ,         10,     248,         0.124 ,          ,              ,                                  ,               , 
scaling_precomputed        , kruskal_precomp_n2000        , hdbscan    , blobs         ,      2000,         10, kruskal  , precomputed,           5,               15,      ,      20,        ,          ,    0.070524,        2310568,        2.31,            ,                ,                     ,                    ,                    ,                ,         10,     228,         0.114 ,          ,              ,                                  ,               , 
scaling_precomputed        , boruvka_precomp_n5000        , hdbscan    , blobs         ,      5000,         10, boruvka  , precomputed,           5,               15,      ,      20,        ,          ,    0.404884,        5353458,        5.35,            ,                ,                     ,                    ,                    ,                ,         11,     762,         0.1524,          ,              ,                                  ,               , 
scaling_precomputed        , kruskal_precomp_n5000        , hdbscan    , blobs         ,      5000,         10, kruskal  , precomputed,           5,               15,      ,      20,        ,          ,    0.172119,        5360124,        5.36,            ,                ,                     ,                    ,                    ,                ,         10,     760,         0.152 ,          ,              ,                                  ,               , 
scaling_precomputed        , boruvka_precomp_n10000       , hdbscan    , blobs         ,     10000,         10, boruvka  , precomputed,           5,               15,      ,      20,        ,          ,    0.799065,       10604654,       10.6 ,            ,                ,                     ,                    ,                    ,                ,         12,    1457,         0.1457,          ,              ,                                  ,               , 
scaling_precomputed        , kruskal_precomp_n10000       , hdbscan    , blobs         ,     10000,         10, kruskal  , precomputed,           5,               15,      ,      20,        ,          ,    0.337855,       10645660,       10.65,            ,                ,                     ,                    ,                    ,                ,         10,    1515,         0.1515,          ,              ,                                  ,               , 
scaling_precomputed        , boruvka_precomp_n25000       , hdbscan    , blobs         ,     25000,         10, boruvka  , precomputed,           5,               15,      ,      20,        ,          ,    2.046572,       26179472,       26.18,            ,                ,                     ,                    ,                    ,                ,         15,    3679,         0.1472,          ,              ,                                  ,               , 
scaling_precomputed        , kruskal_precomp_n25000       , hdbscan    , blobs         ,     25000,         10, kruskal  , precomputed,           5,               15,      ,      20,        ,          ,    0.862146,       26121902,       26.12,            ,                ,                     ,                    ,                    ,                ,         10,    3765,         0.1506,          ,              ,                                  ,               , 
scaling_precomputed        , boruvka_precomp_n50000       , hdbscan    , blobs         ,     50000,         10, boruvka  , precomputed,           5,               15,      ,      20,        ,          ,    4.097666,       52154672,       52.15,            ,                ,                     ,                    ,                    ,                ,         14,    7115,         0.1423,          ,              ,                                  ,               , 
scaling_precomputed        , kruskal_precomp_n50000       , hdbscan    , blobs         ,     50000,         10, kruskal  , precomputed,           5,               15,      ,      20,        ,          ,    1.74717 ,       53011354,       53.01,            ,                ,                     ,                    ,                    ,                ,         10,    6978,         0.1396,          ,              ,                                  ,               , 
scaling_precomputed        , boruvka_precomp_n100000      , hdbscan    , blobs         ,    100000,         10, boruvka  , precomputed,           5,               15,      ,      20,        ,          ,    7.157555,      106123658,      106.12,            ,                ,                     ,                    ,                    ,                ,         22,   13370,         0.1337,          ,              ,                                  ,               , 
scaling_precomputed        , kruskal_precomp_n100000      , hdbscan    , blobs         ,    100000,         10, kruskal  , precomputed,           5,               15,      ,      20,        ,          ,    3.686878,      105806922,      105.81,            ,                ,                     ,                    ,                    ,                ,         10,   13446,         0.1345,          ,              ,                                  ,               , 
dimensionality             , boruvka_d2                   , hdbscan    , blobs         ,     20000,          2, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.146354,        3898226,        3.9 ,            ,                ,                     ,                    ,                    ,                ,          2,       0,         0.0   ,          ,              ,                                  ,               , 
dimensionality             , kruskal_knn_20_d2            , hdbscan    , blobs         ,     20000,          2, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.088752,       20424792,       20.42,            ,                ,                     ,                    ,                    ,                ,          2,       0,         0.0   ,          ,              ,                                  ,               , 
dimensionality             , boruvka_d5                   , hdbscan    , blobs         ,     20000,          5, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.078683,        3904519,        3.9 ,            ,                ,                     ,                    ,                    ,                ,          5,       0,         0.0   ,          ,              ,                                  ,               , 
dimensionality             , kruskal_knn_20_d5            , hdbscan    , blobs         ,     20000,          5, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.093517,       20677056,       20.68,            ,                ,                     ,                    ,                    ,                ,          5,       0,         0.0   ,          ,              ,                                  ,               , 
dimensionality             , boruvka_d10                  , hdbscan    , blobs         ,     20000,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.203768,        3912409,        3.91,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
dimensionality             , kruskal_knn_20_d10           , hdbscan    , blobs         ,     20000,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.097797,       21097450,       21.1 ,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
dimensionality             , boruvka_d25                  , hdbscan    , blobs         ,     20000,         25, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.523051,        6282448,        6.28,            ,                ,                     ,                    ,                    ,                ,         25,       0,         0.0   ,          ,              ,                                  ,               , 
dimensionality             , kruskal_knn_20_d25           , hdbscan    , blobs         ,     20000,         25, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.126394,       22358770,       22.36,            ,                ,                     ,                    ,                    ,                ,         25,       0,         0.0   ,          ,              ,                                  ,               , 
dimensionality             , boruvka_d50                  , hdbscan    , blobs         ,     20000,         50, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    1.237258,       10384648,       10.38,            ,                ,                     ,                    ,                    ,                ,         50,       0,         0.0   ,          ,              ,                                  ,               , 
dimensionality             , kruskal_knn_20_d50           , hdbscan    , blobs         ,     20000,         50, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.102083,       24460970,       24.46,            ,                ,                     ,                    ,                    ,                ,         50,       0,         0.0   ,          ,              ,                                  ,               , 
dimensionality             , boruvka_d100                 , hdbscan    , blobs         ,     20000,        100, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    3.009057,       18589002,       18.59,            ,                ,                     ,                    ,                    ,                ,        100,       0,         0.0   ,          ,              ,                                  ,               , 
dimensionality             , kruskal_knn_20_d100          , hdbscan    , blobs         ,     20000,        100, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.130021,       28665370,       28.67,            ,                ,                     ,                    ,                    ,                ,        100,       0,         0.0   ,          ,              ,                                  ,               , 
dimensionality             , boruvka_d200                 , hdbscan    , blobs         ,     20000,        200, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,   10.176852,       34997848,       35.0 ,            ,                ,                     ,                    ,                    ,                ,        200,       0,         0.0   ,          ,              ,                                  ,               , 
dimensionality             , kruskal_knn_20_d200          , hdbscan    , blobs         ,     20000,        200, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.220925,       37074124,       37.07,            ,                ,                     ,                    ,                    ,                ,        200,       0,         0.0   ,          ,              ,                                  ,               , 
data_shapes                , boruvka_blobs                , hdbscan    , blobs         ,     20000,          2, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.079602,        3935527,        3.94,            ,                ,                     ,                    ,                    ,                ,          3,       1,         0.0001,          ,              ,                                  ,               , 
data_shapes                , kruskal_knn_20_blobs         , hdbscan    , blobs         ,     20000,          2, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.087243,       20424696,       20.42,            ,                ,                     ,                    ,                    ,                ,          3,       0,         0.0   ,          ,              ,                                  ,               , 
data_shapes                , boruvka_moons                , hdbscan    , moons         ,     20000,          2, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.087467,        3895679,        3.9 ,            ,                ,                     ,                    ,                    ,                ,          2,       0,         0.0   ,          ,              ,                                  ,               , 
